Desc_Resp_Cerrada,MARITAL_STATUS_CODE,EDAD,MODELO_ATENCION,FRECUENCIA_ENCUESTAS,VISITAS_CAJA,ESPERA_SEQ1
10,C,47,PREMIUM,3,2,
8,C,55,RENTA_MASIVA,1,1,18.6
10,S,53,RENTA_MASIVA,1,1,0.8
10,C,53,PREMIUM,2,2,4.11
10,S,46,NORMAL,2,1,9.56
10,S,36,EMPRESAS,1,1,12.03
9,C,42,PREMIUM,2,1,4.63
1,S,38,PREMIUM,1,1,6.05
10,C,37,RENTA_MASIVA,1,1,0.03
7,C,46,RENTA_MASIVA,1,1,27.5
10,C,31,PREMIUM,2,1,6.18
8,C,34,PREMIUM,3,2,2.51
10,S,36,PREMIUM,2,1,9.55
8,S,43,PREMIUM,1,2,
10,S,47,PREMIUM,4,1,
5,S,36,RENTA_MASIVA,1,1,32.76
8,C,52,PREMIUM,4,5,74.71
1,S,31,RENTA_MASIVA,1,1,12.81
10,S,64,NORMAL,3,1,6.81
10,S,73,NORMAL,1,1,8.78
3,C,42,NORMAL,1,1,13.31
10,C,65,PREMIUM,2,2,7.61
4,S,33,PREMIUM,1,1,41.4
10,S,58,NORMAL,2,2,3.01
9,S,55,PREMIUM,1,1,5.7
8,C,67,PREMIUM,1,1,11.86
10,C,58,PREMIUM,1,1,2.75
10,S,57,NORMAL,1,1,0.1
10,S,50,NORMAL,1,1,5.18
6,S,42,RENTA_MASIVA,1,3,31.45
10,S,67,PREMIUM,1,3,
10,C,41,PREMIUM,1,7,4.48
10,S,38,PREMIUM,1,1,2.88
8,S,70,PREMIUM,4,2,14.48
5,S,38,PREMIUM,1,1,7.46
9,S,58,RENTA_MASIVA,2,1,5.95
6,S,37,NORMAL,1,1,
9,S,45,RENTA_MASIVA,1,1,34.68
5,S,36,EMPRESAS,2,10,
7,C,52,NORMAL,1,2,7.18
10,S,43,NORMAL,1,1,10.55
10,S,38,NORMAL,1,2,15.58
10,S,30,PREMIUM,1,1,1.11
10,S,32,NORMAL,2,2,4.81
9,S,34,PREMIUM,2,3,1.05
8,S,27,NORMAL,1,1,19.3
7,C,45,NORMAL,1,1,5.1
10,C,50,PREMIUM,2,1,
10,S,68,PREMIUM,3,1,25.26
10,S,43,PREMIUM,3,5,7.06
5,S,32,PREMIUM,1,1,0.2
6,C,42,PREMIUM,3,1,23.13
8,S,52,RENTA_MASIVA,1,1,6.73
10,C,36,PREMIUM,3,1,0.58
9,C,61,PREMIUM,1,2,
10,S,34,PREMIUM,1,1,7.88
4,C,55,RENTA_MASIVA,1,1,16.9
10,C,52,PREMIUM,2,1,1.85
7,C,44,PREMIUM,5,2,
9,S,37,NORMAL,2,2,11.31
10,S,47,RENTA_MASIVA,1,1,4.81
5,S,71,PREMIUM,3,5,3.15
7,S,34,RENTA_MASIVA,1,1,17.66
10,S,37,PREMIUM,2,1,9.55
10,S,45,PREMIUM,3,3,0.66
9,S,40,NORMAL,1,3,19.51
1,C,52,RENTA_MASIVA,1,2,29.53
10,S,33,PREMIUM,1,1,6.5
10,C,39,PREMIUM,3,1,7.35
10,C,34,PREMIUM,3,3,2.63
9,S,30,NORMAL,1,1,4.41
8,S,77,NORMAL,1,1,
9,C,42,PREMIUM,1,2,1.86
10,V,65,PREMIUM,2,2,6.48
8,C,65,PREMIUM,3,5,
4,C,45,PREMIUM,1,1,1.08
8,S,36,RENTA_MASIVA,1,2,18.6
3,S,52,NORMAL,1,1,68.31
7,S,37,RENTA_MASIVA,1,1,5.1
9,S,41,NORMAL,2,1,13.83
6,S,59,RENTA_MASIVA,2,1,15.76
1,S,36,NORMAL,2,4,2.25
5,C,63,NORMAL,1,1,
9,S,31,RENTA_MASIVA,2,2,16.1
8,C,45,RENTA_MASIVA,1,2,17.01
10,S,34,NORMAL,1,1,8.9
1,S,30,RENTA_MASIVA,1,1,
1,S,56,RENTA_MASIVA,1,1,8.2
10,S,39,RENTA_MASIVA,1,1,6.66
10,S,36,PREMIUM,1,2,3.25
8,C,52,PREMIUM,4,1,5.31
5,V,45,RENTA_MASIVA,2,3,1.61
10,S,31,PREMIUM,3,5,3.76
8,S,38,NORMAL,2,2,16.6
7,S,45,RENTA_MASIVA,1,2,27.01
8,S,49,EMPRESAS,2,1,12.56
8,C,54,RENTA_MASIVA,2,1,28.01
9,S,30,PREMIUM,2,1,11.93
2,S,35,PREMIUM,1,1,2.8
7,D,41,PREMIUM,2,1,
10,C,59,PREMIUM,1,1,6.25
10,S,39,RENTA_MASIVA,1,1,15.81
10,S,32,PREMIUM,3,1,
8,C,43,PREMIUM,2,1,
6,S,32,RENTA_MASIVA,1,1,3.33
10,S,37,NORMAL,1,1,
10,V,64,PREMIUM,2,1,5.11
4,C,48,PREMIUM,1,1,7.75
10,S,30,NORMAL,1,1,0.2
5,S,46,RENTA_MASIVA,1,1,9.76
1,S,37,RENTA_MASIVA,1,1,34.68
10,S,38,RENTA_MASIVA,1,1,16.13
9,S,36,PREMIUM,3,1,9.33
10,S,58,NORMAL,2,1,19.83
8,S,67,PREMIUM,1,1,0.85
10,S,60,PREMIUM,1,1,9.01
8,S,30,NORMAL,1,1,
9,C,50,NORMAL,1,1,10.26
10,C,62,PREMIUM,2,1,6.26
8,C,47,PREMIUM,1,1,6.18
10,S,57,PREMIUM,2,1,12.85
8,S,54,PREMIUM,1,1,2.35
10,S,55,NORMAL,1,1,10.7
7,C,50,NORMAL,1,2,24.9
10,S,34,PREMIUM,1,1,5.83
7,C,46,NORMAL,1,1,1.31
8,S,37,PREMIUM,1,1,21.95
10,C,63,PREMIUM,2,4,
10,C,47,NORMAL,1,2,10.51
5,S,39,PREMIUM,1,1,5.1
10,S,40,PREMIUM,1,5,8.11
10,S,30,NORMAL,1,1,5.11
7,S,38,PREMIUM,2,2,
6,C,62,NORMAL,1,1,
8,S,37,PREMIUM,1,1,8.03
10,C,50,PREMIUM,1,1,7.76
10,S,37,PREMIUM,5,10,
9,S,32,NORMAL,1,1,11.35
10,S,36,EMPRESAS,4,2,
10,C,55,PREMIUM,3,1,11.55
10,S,41,NORMAL,1,2,25.75
5,S,35,NORMAL,1,1,
9,S,36,RENTA_MASIVA,1,1,5.48
1,S,69,RENTA_MASIVA,1,1,
7,C,63,NORMAL,1,1,5.8
10,S,38,PREMIUM,1,1,8.55
10,S,54,EMPRESAS,2,1,50.41
9,S,55,PREMIUM,2,2,5.48
7,S,45,NORMAL,2,2,45.66
10,C,61,PREMIUM,3,1,30.65
3,S,37,RENTA_MASIVA,1,1,12.41
10,S,51,RENTA_MASIVA,1,1,5.81
10,S,35,NORMAL,1,1,3.26
9,S,51,PREMIUM,2,3,5.08
8,S,32,NORMAL,1,1,15.7
7,S,32,NORMAL,1,2,32.53
5,S,39,NORMAL,1,2,3.05
9,C,45,RENTA_MASIVA,1,2,3.33
10,C,61,NORMAL,1,1,10.65
10,S,29,RENTA_MASIVA,1,1,21.4
8,S,40,PREMIUM,1,1,5.45
3,C,47,PREMIUM,3,1,
10,S,52,PREMIUM,2,2,2.91
10,S,35,NORMAL,1,1,6.56
5,S,28,RENTA_MASIVA,1,1,14.7
5,S,39,RENTA_MASIVA,1,1,34.25
10,S,49,PREMIUM,2,2,
6,S,32,RENTA_MASIVA,1,2,11.55
6,C,34,RENTA_MASIVA,1,1,
10,S,38,PREMIUM,4,2,
10,S,64,EMPRESAS,1,2,21.75
6,S,47,NORMAL,1,1,6.28
10,C,60,PREMIUM,2,1,4.33
8,C,31,NORMAL,1,3,15.21
7,S,55,NORMAL,1,1,13.66
5,S,40,RENTA_MASIVA,1,1,45.73
10,C,65,PREMIUM,2,3,5.9
8,C,54,PREMIUM,2,1,5.41
10,C,56,EMPRESAS,3,3,5.05
8,C,47,RENTA_MASIVA,1,1,5.01
8,S,45,PREMIUM,2,2,6.6
10,C,51,RENTA_MASIVA,1,1,31.13
10,S,60,RENTA_MASIVA,1,1,7.86
10,S,34,EMPRESAS,2,3,9.01
10,S,51,RENTA_MASIVA,1,1,3.75
10,S,64,NORMAL,1,1,23.08
9,C,44,NORMAL,1,1,8.48
8,S,36,RENTA_MASIVA,1,3,8.63
7,S,32,RENTA_MASIVA,2,1,17.83
9,C,38,NORMAL,1,1,7.61
10,C,53,RENTA_MASIVA,1,1,47.18
10,S,42,NORMAL,1,2,0.93
10,S,33,RENTA_MASIVA,1,1,3.9
