id,property_type,Barrio,lat,lon,Dist a Comisaria (km),Distancia a Hospital  Publico(km),Distancia a Estación Subte (km),Distancia a Biblioteca (km),Distancia a punto de Wifi  público(km),Distancia a Escuela Privada,Distancia a Escuela Pública,Distancia a Espacio Verde (km),Distancia a Espacio Verde (km),Calles Anegadas,Calles Anegadas,Superficie (m2),Precio M2 (U$S),Ambientes
80,apartment,Puerto Madero,-34.610683,-58.362402,0.6123316,1.99282,0.8122036032,1.144308804,0.6327293452,0.7059656,0.6793979,0.3975653,0.251175,2.161396,2.1127937,95,4157.8947368,1
81,apartment,Boca,-34.632533,-58.362406,0.24672337,0.57064,1.826330166,0.4178506614,0.4406897582,0.3343499,0.0693824,0.6811384,0.6811384,0.3189358,0.3189358,219,589.0410959,5
82,apartment,Puerto Madero,-34.613483,-58.362419,0.4164331,1.68588,0.940389505,1.249599851,0.4032951681,0.3962455,0.6109532,0.1398852,0.1096955,1.8505605,1.8030268,105,5904.7619048,2
83,apartment,Puerto Madero,-34.613483,-58.362419,0.4164331,1.68588,0.940389505,1.249599851,0.4032951681,0.3962455,0.6109532,0.1398852,0.1096955,1.8505605,1.8030268,105,5904.7619048,2
84,apartment,Puerto Madero,-34.613483,-58.362419,0.4164331,1.68588,0.940389505,1.249599851,0.4032951681,0.3962455,0.6109532,0.1398852,0.1096955,1.8505605,1.8030268,105,5904.7619048,2
85,apartment,Puerto Madero,-34.613483,-58.362419,0.4164331,1.68588,0.940389505,1.249599851,0.4032951681,0.3962455,0.6109532,0.1398852,0.1096955,1.8505605,1.8030268,105,5904.7619048,2
86,apartment,Puerto Madero,-34.612131,-58.362469,0.49235544,1.83294,0.8621252586,1.184765653,0.5028704615,0.5460953,0.6706763,0.2897247,0.1930891,2.000202,1.9519127,143,6993.006993,3
87,apartment,Puerto Madero,-34.612131,-58.362469,0.49235544,1.83294,0.8621252586,1.184765653,0.5028704615,0.5460953,0.6706763,0.2897247,0.1930891,2.000202,1.9519127,165,4363.6363636,3
88,apartment,Puerto Madero,-34.612131,-58.362469,0.49235544,1.83294,0.8621252586,1.184765653,0.5028704615,0.5460953,0.6706763,0.2897247,0.1930891,2.000202,1.9519127,165,3878.7878788,3
89,apartment,Puerto Madero,-34.612117,-58.362471,0.49321703,1.83444,0.8612925441,1.184048633,0.5039468281,0.5476645,0.6713275,0.2912936,0.1944559,2.0017419,1.9534404,160,4187.5,3
90,apartment,Puerto Madero,-34.611721,-58.36248,0.52209655,1.87771,0.8426341938,1.168594229,0.5380036219,0.5915695,0.6825136,0.3352598,0.2319759,2.0456366,1.9971549,112,3660.7142857,3
91,apartment,Puerto Madero,-34.611721,-58.36248,0.52209655,1.87771,0.8426341938,1.168594229,0.5380036219,0.5915695,0.6825136,0.3352598,0.2319759,2.0456366,1.9971549,151,3774.8344371,2
92,apartment,Puerto Madero,-34.611721,-58.36248,0.52209655,1.87771,0.8426341938,1.168594229,0.5380036219,0.5915695,0.6825136,0.3352598,0.2319759,2.0456366,1.9971549,134,4925.3731343,3
93,apartment,Puerto Madero,-34.611649,-58.362527,0.52461653,1.88488,0.8355971462,1.161991056,0.5418992744,0.6000071,0.6769252,0.3436421,0.2410712,2.0533157,2.0046534,160,4500,3
94,apartment,Puerto Madero,-34.611557,-58.362537,0.53124227,1.89482,0.8309263306,1.157971946,0.549691582,0.6102864,0.6744318,0.3539237,0.250457,2.0634653,2.0147377,237,3164.556962,2
95,apartment,Puerto Madero,-34.611076,-58.362606,0.5666715,1.94662,0.8067431692,1.136762679,0.5908637919,0.6642011,0.6623124,0.388206,0.275406,2.1164487,2.0673374,121,5454.5454545,3
96,apartment,Puerto Madero,-34.610969,-58.362631,0.57438485,1.95802,0.8009139468,1.131484176,0.5998416289,0.6762945,0.6593021,0.3964154,0.2754692,2.1281839,2.0789597,139,4640.2877698,5
97,apartment,Puerto Madero,-34.609396,-58.362833,0.70955784,2.12853,0.7483531503,1.081948083,0.5002924676,0.743086,0.6552304,0.3114565,0.2321338,2.3019111,2.2516485,150,5333.3333333,3
98,apartment,Puerto Madero,-34.609396,-58.362833,0.70955784,2.12853,0.7483531503,1.081948083,0.5002924676,0.743086,0.6552304,0.3114565,0.2321338,2.3019111,2.2516485,150,5326.6666667,3
99,apartment,Puerto Madero,-34.609439,-58.362846,0.70479548,2.12363,0.7475995565,1.08126456,0.5052239312,0.743581,0.6530531,0.3160193,0.2366967,2.2970693,2.2467795,180,5000,4
100,apartment,Puerto Madero,-34.618002,-58.36289,0.4783417,1.18531,1.26291499,1.386587214,0.391632121,0.1497555,0.6168315,0.2908059,0.2908059,1.3456714,1.2986939,82,3658.5365854,2
101,apartment,Puerto Madero,-34.614891,-58.363017,0.32745198,1.52167,0.9945404457,1.282315913,0.2841988873,0.2607047,0.5251927,0.0810278,0.0806716,1.6902386,1.6410389,118,2813.559322,2
102,apartment,Puerto Madero,-34.610663,-58.363057,0.57847432,1.98601,0.7537495956,1.085360276,0.6110899901,0.6616044,0.6193843,0.4476844,0.3110378,2.1600376,2.1094083,95,4736.8421053,4
103,apartment,Boca,-34.632086,-58.363115,0.32757159,0.49318,1.74969715,0.4986619906,0.4917221189,0.4114587,0.1135409,0.6533749,0.6533749,0.2455213,0.2455213,70,728.5714286,3
104,apartment,Puerto Madero,-34.605721,-58.363226,1.01085875,2.53058,0.6853633048,1.082170862,0.1827305921,0.6833842,0.8167977,0.1015863,0.1015863,2.7091855,2.657238,120,5000,3
105,apartment,Puerto Madero,-34.612867,-58.363252,0.38512551,1.74058,0.8390156504,1.150815939,0.3940028009,0.4796528,0.567854,0.2294712,0.2000013,1.9141454,1.8634218,136,4485.2941176,1
106,apartment,Puerto Madero,-34.6109,-58.363279,0.54523227,1.95719,0.7420508465,1.072128777,0.5784774544,0.632525,0.5996331,0.4375872,0.3332522,2.1328372,2.0815775,61,4098.3606557,2
107,apartment,Boca,-34.631978,-58.363324,0.34963773,0.4729,1.727938406,0.5206663265,0.5086830382,0.4323791,0.1131471,0.6493763,0.6493763,0.2274867,0.2274867,63,1412.6984127,3
108,apartment,Boca,-34.631978,-58.363324,0.34963773,0.4729,1.727938406,0.5206663265,0.5086830382,0.4323791,0.1131471,0.6493763,0.6493763,0.2274867,0.2274867,31,1612.9032258,1
109,apartment,Puerto Madero,-34.604777,-58.363391,0.95719074,2.63375,0.6312950019,1.101635053,0.1850137747,0.7013797,0.8659249,0.2017661,0.2017661,2.8138132,2.7613682,128,4375,3
110,apartment,Puerto Madero,-34.611717,-58.363407,0.46493399,1.86549,0.7647446699,1.088206604,0.492193191,0.5923349,0.5989551,0.3534621,0.2841928,2.041538,1.990038,187,5347.5935829,3
111,apartment,Puerto Madero,-34.611717,-58.363407,0.46493399,1.86549,0.7647446699,1.088206604,0.492193191,0.5923349,0.5989551,0.3534621,0.2841928,2.041538,1.990038,157,4076.433121,2
112,apartment,Puerto Madero,-34.612301,-58.363467,0.41247063,1.80031,0.789647639,1.106885901,0.4334248075,0.5456533,0.5834768,0.294912,0.246944,1.9763865,1.924806,136,5073.5294118,4
113,apartment,Boca,-34.636462,-58.3636,0.37563086,0.41789,1.906790806,0.4140123782,0.3289364154,0.1587854,0.3005188,0.5101436,0.5098888,0.7157911,0.7157911,59,1520.3389831,3
114,apartment,Puerto Madero,-34.601966,-58.363679,0.87606777,2.9435,0.5839894727,1.229039624,0.4026290183,0.7763025,0.8006194,0.0983397,0.0348566,3.1261771,3.0728785,150,4000,3
115,apartment,Puerto Madero,-34.608151,-58.363789,0.80127567,2.25641,0.6619988115,0.9890601269,0.4078465879,0.6224804,0.6189965,0.1744125,0.1052406,2.4376077,2.3845079,53,5471.6981132,2
116,apartment,Boca,-34.633181,-58.363808,0.31463239,0.57475,1.72873217,0.474174797,0.5858200771,0.3514417,0.0343452,0.7900636,0.7900636,0.3501668,0.3501668,115,1043.4782609,3
117,apartment,Boca,-34.628558,-58.363912,0.6948732,0.19188,1.608010115,0.859799696,0.507856761,0.1025453,0.1721576,0.3759893,0.3759893,0.1670275,0.1419359,30,1966.6666667,1
118,apartment,Puerto Madero,-34.598957,-58.364008,0.90754046,3.27587,0.7042633549,1.429425062,0.7200344073,0.7088186,0.8602985,0.029997,0.0135137,3.4608688,3.4067969,166,4518.0722892,3
119,apartment,Puerto Madero,-34.603175,-58.364632,0.8011912,2.80406,0.4858698509,1.081231211,0.3627977845,0.6955305,0.7165581,0.1150077,0.1150077,2.9916568,2.9364111,252,5476.1904762,3
120,apartment,Puerto Madero,-34.599546,-58.364747,0.82148885,3.20729,0.6103388749,1.335333241,0.6860100447,0.6365044,0.7708813,0.1134042,0.1077182,3.3957427,3.3403148,150,3400,3
121,apartment,Boca,-34.62927,-58.364799,0.66794082,0.15039,1.534395221,0.8377572819,0.4388060644,0.2034993,0.0931603,0.4884254,0.4884254,0.1056311,0.0323856,310,483.8709677,7
122,apartment,Puerto Madero,-34.599023,-58.364818,0.83593967,3.26525,0.6437445406,1.374623901,0.7412744936,0.634249,0.7911232,0.1039759,0.0862194,3.4540652,3.398516,134,4104.4776119,2
123,apartment,Boca,-34.628911,-58.365564,0.74180501,0.07458,1.460381398,0.9123383613,0.3618463356,0.215477,0.1641767,0.5251044,0.5251044,0.1818677,0.0949799,35,1657.1428571,1
124,apartment,Puerto Madero,-34.612462,-58.365726,0.2901879,1.76766,0.6293575605,0.9286953155,0.3489990992,0.3667156,0.4148956,0.3877093,0.3877093,1.9629157,1.9040946,100,4200,3
125,apartment,San Cristobal,-34.620372,-58.366313,0.60187023,0.88747,1.258335046,1.01784977,0.4383656269,0.0904753,0.3948722,0.1386382,0.1386382,1.0952826,1.0303859,75,1266.6666667,3
126,apartment,Centro / Microcentro,-34.620372,-58.366313,0.60187023,0.88747,1.258335046,1.01784977,0.4383656269,0.0904753,0.3948722,0.1386382,0.1386382,1.0952826,1.0303859,65,2000,3
127,apartment,Puerto Madero,-34.615586,-58.367507,0.10843965,1.42652,0.818292455,1.029457485,0.1379680178,0.342643,0.1184451,0.4333894,0.4333894,1.6390898,1.573265,90,2300,3
128,apartment,Puerto Madero,-34.615586,-58.367507,0.10843965,1.42652,0.818292455,1.029457485,0.1379680178,0.342643,0.1184451,0.4333894,0.4333894,1.6390898,1.573265,60,2916.6666667,2
129,apartment,Puerto Madero,-34.615586,-58.367507,0.10843965,1.42652,0.818292455,1.029457485,0.1379680178,0.342643,0.1184451,0.4333894,0.4333894,1.6390898,1.573265,50,3500,2
