PLAZO,PRESTAMOS_ANTERIORES,SCORE_VERAZ,ESTADO_CIVIL,DEUDA_SIST_FIN,INGRESOS_PERSONALES,Mora_mas_90
48,2,676,CASADO,83268.0906,229827.0017,0
24,6,642,CASADO,86000,110000,0
36,7,693,CASADO,103220.6476,104840.9163,0
24,8,614,CASADO,90945.99252,100442.3612,0
48,6,,CASADO,44740.58053,52866.33148,0
36,1,887,CASADO,36379.88375,63766.98724,0
12,4,906,CASADO,23626.4863,68672.14011,0
24,2,,DIVORCIADO,36416.93083,139099.1523,1
36,4,,DIVORCIADO,52228.98146,130572.4536,1
48,3,862,VIUDO,62456.88643,98616.13647,0
24,1,,SOLTERO,66602.89674,223562.1709,0
36,1,692,DIVORCIADO,27393.37124,296761.5218,0
36,2,,SOLTERO,126444.9933,258911.8207,0
46,3,456,SOLTERO,137373.1023,243040.6739,0
6,2,731,CASADO,115701.702,72540.25202,0
18,1,770,DIVORCIADO,43401.94532,375678.7527,0
36,2,815,CASADO,209097.2765,362701.2601,0
24,2,454,CASADO,193138.421,99742.84653,0
30,11,743,CASADO,74200,248000,0
26,3,826,DIVORCIADO,17237.02513,47733.30035,0
32,8,460,SOLTERO,44231.39681,108492.1054,0
48,1,918,DIVORCIADO,70880.04443,82236.51564,0
48,2,667,CASADO,94726.30639,273796.6955,0
24,3,598,CASADO,138426.571,263417.1019,0
48,11,847,DIVORCIADO,112800.0919,213086.9903,0
12,1,877,CASADO,53861.13713,272025.9451,0
11,2,835,CASADO,51576.80915,259614.8112,0
12,3,412,DIVORCIADO,39115.29822,155768.8867,0
24,1,441,DIVORCIADO,27402.4502,127288.8009,0
24,1,831,CASADO,46404.89097,111606.6998,0
24,3,824,CASADO,83300.87347,184901.2523,0
24,2,,DIVORCIADO,26205.16604,68006.48627,1
24,5,852,CASADO,39200,150000,0
24,1,,SOLTERO,46584.16534,212148.0015,0
24,4,843,SOLTERO,66812.25664,428894.6575,0
24,1,909,CASADO,20179.78348,82180.11372,0
28,5,762,CASADO,89278.95065,158534.6658,0
19,1,831,SOLTERO,93164.37893,137817.1286,0
46,1,,CASADO,23159.49017,190933.2014,0
24,1,786,SOLTERO,22827.80937,83093.2261,0
48,1,675,CASADO,77256.15762,820036.0982,1
48,1,478,DIVORCIADO,35169.36191,118946.785,1
48,2,596,DIVORCIADO,31019.25121,116252.3289,1
18,4,715,SOLTERO,12518.31985,312957.9963,0
24,1,757,CASADO,183435.2556,129212.3239,0
16,3,852,CASADO,32595.99397,51467.3589,0
24,4,601,DIVORCIADO,79714.71031,63917.86623,1
10,7,828,CASADO,20679.50081,816001.9237,0
